age,mi,gender
0,0.01,Female
1,0.01,Female
2,0.01,Female
3,0.01,Female
4,0.01,Female
5,0.01,Female
6,0.01,Female
7,0.01,Female
8,0.01,Female
9,0.01,Female
10,0.01,Female
11,0.01,Female
12,0.01,Female
13,0.01,Female
14,0.01,Female
15,0.01,Female
16,0.01,Female
17,0.01,Female
18,0.01,Female
19,0.01,Female
20,0.01,Female
21,0.01,Female
22,0.01,Female
23,0.01,Female
24,0.01,Female
25,0.01,Female
26,0.01,Female
27,0.01,Female
28,0.01,Female
29,0.01,Female
30,0.01,Female
31,0.01,Female
32,0.01,Female
33,0.01,Female
34,0.01,Female
35,0.01,Female
36,0.01,Female
37,0.01,Female
38,0.01,Female
39,0.01,Female
40,0.01,Female
41,0.01,Female
42,0.01,Female
43,0.01,Female
44,0.01,Female
45,0.01,Female
46,0.01,Female
47,0.01,Female
48,0.01,Female
49,0.01,Female
50,0.01,Female
51,0.01,Female
52,0.011,Female
53,0.011,Female
54,0.011,Female
55,0.012,Female
56,0.012,Female
57,0.012,Female
58,0.012,Female
59,0.013,Female
60,0.013,Female
61,0.013,Female
62,0.013,Female
63,0.013,Female
64,0.013,Female
65,0.013,Female
66,0.013,Female
67,0.013,Female
68,0.013,Female
69,0.013,Female
70,0.013,Female
71,0.013,Female
72,0.013,Female
73,0.013,Female
74,0.013,Female
75,0.013,Female
76,0.013,Female
77,0.013,Female
78,0.013,Female
79,0.013,Female
80,0.013,Female
81,0.012,Female
82,0.012,Female
83,0.011,Female
84,0.01,Female
85,0.01,Female
86,0.009,Female
87,0.008,Female
88,0.007,Female
89,0.007,Female
90,0.006,Female
91,0.006,Female
92,0.005,Female
93,0.005,Female
94,0.004,Female
95,0.004,Female
96,0.004,Female
97,0.003,Female
98,0.003,Female
99,0.002,Female
100,0.002,Female
101,0.002,Female
102,0.001,Female
103,0.001,Female
104,0,Female
105,0,Female
106,0,Female
107,0,Female
108,0,Female
109,0,Female
110,0,Female
111,0,Female
112,0,Female
113,0,Female
114,0,Female
115,0,Female
116,0,Female
117,0,Female
118,0,Female
119,0,Female
120,0,Female
0,0.01,Male
1,0.01,Male
2,0.01,Male
3,0.01,Male
4,0.01,Male
5,0.01,Male
6,0.01,Male
7,0.01,Male
8,0.01,Male
9,0.01,Male
10,0.01,Male
11,0.01,Male
12,0.01,Male
13,0.01,Male
14,0.01,Male
15,0.01,Male
16,0.01,Male
17,0.01,Male
18,0.01,Male
19,0.01,Male
20,0.01,Male
21,0.01,Male
22,0.01,Male
23,0.01,Male
24,0.01,Male
25,0.01,Male
26,0.01,Male
27,0.01,Male
28,0.01,Male
29,0.01,Male
30,0.01,Male
31,0.01,Male
32,0.01,Male
33,0.01,Male
34,0.01,Male
35,0.01,Male
36,0.01,Male
37,0.01,Male
38,0.01,Male
39,0.01,Male
40,0.01,Male
41,0.01,Male
42,0.01,Male
43,0.01,Male
44,0.01,Male
45,0.01,Male
46,0.01,Male
47,0.01,Male
48,0.01,Male
49,0.01,Male
50,0.01,Male
51,0.011,Male
52,0.011,Male
53,0.012,Male
54,0.012,Male
55,0.013,Male
56,0.013,Male
57,0.014,Male
58,0.014,Male
59,0.015,Male
60,0.015,Male
61,0.015,Male
62,0.015,Male
63,0.015,Male
64,0.015,Male
65,0.015,Male
66,0.015,Male
67,0.015,Male
68,0.015,Male
69,0.015,Male
70,0.015,Male
71,0.015,Male
72,0.015,Male
73,0.015,Male
74,0.015,Male
75,0.015,Male
76,0.015,Male
77,0.015,Male
78,0.015,Male
79,0.015,Male
80,0.015,Male
81,0.014,Male
82,0.013,Male
83,0.013,Male
84,0.012,Male
85,0.011,Male
86,0.01,Male
87,0.009,Male
88,0.009,Male
89,0.008,Male
90,0.007,Male
91,0.007,Male
92,0.006,Male
93,0.005,Male
94,0.005,Male
95,0.004,Male
96,0.004,Male
97,0.003,Male
98,0.003,Male
99,0.002,Male
100,0.002,Male
101,0.002,Male
102,0.001,Male
103,0.001,Male
104,0,Male
105,0,Male
106,0,Male
107,0,Male
108,0,Male
109,0,Male
110,0,Male
111,0,Male
112,0,Male
113,0,Male
114,0,Male
115,0,Male
116,0,Male
117,0,Male
118,0,Male
119,0,Male
120,0,Male
